feature_name,biological_meaning,exact_algebraic_definition,raw_descriptors,atom_residue_selection,unit,cutoff,normalization,time_aggregation_operator,missingness_rule,coverage,confidence_rule,model_eligibility,exact_source_file,source_line_function_script,recoverability,qualification,trajectory_window,time_stride,statistical_unit
D,normalized inter-enzyme spatial separation,"D = mean_t[d_COM,all-atom,mass-weighted(t) / ((Rg_CA,enzyme1,reference + Rg_CA,enzyme2,reference)/2)]",enzyme-domain all-atom mass-weighted COM distance; minimum inter-enzyme heavy-atom distance retained as raw descriptor but not in D,all atoms in enzyme_1 and enzyme_2 groups for GROMACS `com of group`; linker and RIAD/RIDD excluded; denominator coordinate Rg uses each enzyme CA group in analysis reference,dimensionless,NA,divide each COM-distance frame by mean of the two unweighted coordinate Rg values from the analysis-reference CA coordinates,arithmetic mean over 751 frames,NUMERIC_MISSING if required trajectory/group values absent; no imputation,16/16 numeric,HIGH_DESCRIPTOR when topology QC passes,YES; frozen M2 reduced common feature,"repos/truefit/metadata/PSCI_PHENOTYPE_BLIND_FEATURE_FREEZE.json:23-29; repos/truefit/scripts/psci_internal16_reanalysis.py:130-173,183-188,237-250,314-345; repos/historical_md/scripts/spatial/run_phase3b_spatial.py:131-146",build_groups(); ensure_analysis(); aggregate(),EXACT_IMPLEMENTATION_RECOVERED,Some prose calls the numerator CA/core COM and line 10 of the resolution report says frame-0 normalization; executable lineage uses mass-weighted all-atom enzyme COM divided by mean reference CA coordinate Rg. Handoff follows stored values and executable lineage.,0-75 ns inclusive,100 ps,one construct/trajectory; frames are not independent samples
C,normalized inter-enzyme heavy-atom contact density,"C = mean_t[Ncontacts_heavy(t; d<=0.45 nm) / sqrt(Nheavy,enzyme1 * Nheavy,enzyme2)]","inter-enzyme heavy-atom contact counts at 0.40, 0.45, 0.50 nm; 0.45-nm density is primary",all non-hydrogen atoms of enzyme_1 versus all non-hydrogen atoms of enzyme_2; linker and RIAD/RIDD excluded,dimensionless density,0.45 nm primary; 0.40 and 0.50 nm sensitivity,contact count divided by geometric mean of enzyme heavy-atom counts,arithmetic mean over 751 frames,NUMERIC_MISSING if contact series/groups absent; no imputation,16/16 numeric,HIGH_DESCRIPTOR when topology QC passes,YES; frozen M2 reduced common feature,"repos/truefit/metadata/PSCI_PHENOTYPE_BLIND_FEATURE_FREEZE.json:14-22; repos/truefit/scripts/psci_internal16_reanalysis.py:143-146,189-205,242,249-250,314-345",build_groups(); ensure_analysis(); aggregate(),EXACT_IMPLEMENTATION_RECOVERED,contact direction is frozen non-monotonic,0-75 ns inclusive,100 ps,one construct/trajectory; frames are not independent samples
A,evidence-qualified active-residue solvent accessibility,A = mean_t[0.5*(SASA_active1(t)/SASA_active1(0) + SASA_active2(t)/SASA_active2(0))],whole-protein-context SASA for each frozen active-residue set,"all atoms in source-curated active residues for both enzyme components, evaluated as output subsets of the Protein surface",dimensionless,SASA probe 0.14 nm,"each component divided by its own frame-0 SASA, then equal component mean; per-residue division stated in spec cancels in the same-set ratio",arithmetic mean over available 0-75-ns frames,both components and nonzero frame-0 SASA required; otherwise SCIENTIFICALLY_NOT_IDENTIFIABLE or NUMERIC_MISSING_ZERO_REFERENCE,11/16 numeric,exact evidence high; GP-PGM/RHLA-RHLB proxies LOW_PROXY; lower component evidence controls system interpretation,NO in final M2; incomplete coverage,"repos/truefit/reports/PSCI_A_FEATURE_SPEC_FINAL.md:1-5; repos/truefit/scripts/psci_internal16_reanalysis.py:159-165,206-223,251-266,314-355",build_groups(); ensure_analysis(); aggregate(),EXACT_IMPLEMENTATION_RECOVERED,not whole-protein SASA and not causal,0-75 ns inclusive,100 ps,one construct/trajectory; frames are not independent samples
O,mutual active-face alignment occupancy,"O = mean_t[I(cos(v_active1,v_1to2)>=0.5 AND cos(v_active2,v_2to1)>=0.5)]",O1 cosine; O2 cosine; mutually-facing binary frame state,v_activek: enzyme-k CA COM to curated active-residue CA centroid; partner vector: enzyme-k CA COM to other enzyme CA COM,"fraction [0,1]",both cosines >=0.5 (angles <=60 degrees),vectors normalized to unit length,arithmetic mean of mutually-facing indicator over available frames,both component active-residue definitions required; otherwise SCIENTIFICALLY_NOT_IDENTIFIABLE,12/16 numeric,lower confidence of two residue sets; GP-PGM/RHLA-RHLB LOW_PROXY,NO in final M2; incomplete/zero-variance limitations,"repos/truefit/reports/PSCI_O_FEATURE_SPEC_FINAL.md:1-5; repos/truefit/scripts/psci_internal16_reanalysis.py:159-165,206-216,267-277,314-355",build_groups(); ensure_analysis(); aggregate(),EXACT_IMPLEMENTATION_RECOVERED,productive-orientation proxy only; not DIC/OIC/channeling probability,0-75 ns inclusive,100 ps,one construct/trajectory; frames are not independent samples
F1,fused-terminal solvent accessibility,F1 = mean_t[0.5*(SASA_terminal1(t)/SASA_terminal1(0) + SASA_terminal2(t)/SASA_terminal2(0))],whole-protein-context SASA of each fused five-residue enzyme terminus,"all atoms of the first five enzyme residues for N-terminal fusion or last five for C-terminal fusion, separately for both chains",dimensionless,SASA probe 0.14 nm,each terminal SASA divided by same terminal frame-0 SASA; equal chain mean; per-residue factor cancels because each set has five residues,arithmetic mean over 751 frames,NUMERIC_MISSING if terminal groups or nonzero reference SASA absent; no imputation,16/16 numeric,HIGH_DESCRIPTOR when topology QC passes,YES; frozen M2 reduced common feature,"repos/truefit/reports/PSCI_F_FEATURE_SPEC_FINAL.md:1-5; repos/truefit/scripts/psci_internal16_reanalysis.py:150-158,217-223,251-261,314-345",build_groups(); ensure_analysis(); aggregate(),EXACT_IMPLEMENTATION_RECOVERED,descriptive; higher is not assumed universally optimal,0-75 ns inclusive,100 ps,one construct/trajectory; frames are not independent samples
F2,normalized fused-terminal to active-centroid geometry,"F2 = mean_t[0.5*(d(terminal1_CA_centroid,active1_CA_centroid)/Rg1_reference + d(terminal2_CA_centroid,active2_CA_centroid)/Rg2_reference)]",terminal-to-active centroid distances for both components,CA atoms of each fused five-residue terminus and CA atoms of each curated active-residue set,dimensionless,NA,component distance divided by that enzyme's analysis-reference coordinate Rg; equal component mean,arithmetic mean over available frames,both active-residue sets required; otherwise SCIENTIFICALLY_NOT_IDENTIFIABLE,12/16 numeric,GP-PGM/RHLA-RHLB LOW_PROXY; otherwise HIGH_DESCRIPTOR,NO in final M2; incomplete coverage,"repos/truefit/reports/PSCI_F_FEATURE_SPEC_FINAL.md:1-5; repos/truefit/scripts/psci_internal16_reanalysis.py:150-170,209-216,267-277,314-345",build_groups(); ensure_analysis(); aggregate(),EXACT_IMPLEMENTATION_RECOVERED,active-site evidence-qualified,0-75 ns inclusive,100 ps,one construct/trajectory; frames are not independent samples
F3,source-backed native-interface proximity/overlap,NOT_UNIQUELY_RECOVERABLE,"exact native biological assembly, mapped interface residues, terminal-to-interface geometry, interface overlap/occlusion would be required",NOT_UNIQUELY_RECOVERABLE,NA,NOT_UNIQUELY_RECOVERABLE,NOT_UNIQUELY_RECOVERABLE,NA,SCIENTIFICALLY_NOT_IDENTIFIABLE; no numeric value manufactured,0/16 numeric,NOT_IDENTIFIABLE,NO,repos/truefit/reports/PSCI_F_FEATURE_SPEC_FINAL.md:1-5; repos/truefit/results/PSCI_FINAL/INTERNAL16_PSCI_MASTER_FINAL.csv,final F specification; aggregate() hard-codes F3=NA,NOT_UNIQUELY_RECOVERABLE,F scalar is also not identifiable,0-75 ns inclusive,100 ps,one construct/trajectory; frames are not independent samples
F4,fused-terminal nonself steric/packing contact occupancy,"F4 = mean_t[I(minDist(terminal1_heavy,chain2_heavy)<=0.45 nm OR minDist(terminal2_heavy,chain1_heavy)<=0.45 nm)]",two per-frame terminal-to-other-chain minimum heavy-atom distances,all non-hydrogen atoms of each fused five-residue enzyme terminus versus all non-hydrogen atoms of the complete other modeled chain (enzyme+linker+RIAD/RIDD),"fraction [0,1]",0.45 nm,binary union across the two chain directions per frame,arithmetic mean of per-frame indicator over 751 frames,NUMERIC_MISSING if either minimum-distance series absent; no imputation,16/16 numeric,HIGH_DESCRIPTOR when topology QC passes,YES; frozen M2 reduced common feature,"repos/truefit/reports/PSCI_F_FEATURE_SPEC_FINAL.md:1-5; repos/truefit/scripts/psci_internal16_reanalysis.py:150-158,224-230,260-261,314-345",build_groups(); ensure_analysis(); aggregate(),EXACT_IMPLEMENTATION_RECOVERED,packing descriptor; no universally favorable direction,0-75 ns inclusive,100 ps,one construct/trajectory; frames are not independent samples
F5,fused-terminal structural constraint proxy,"F5 = 1 / (1 + mean_r[RMSF_CA,r over 0-75 ns])",per-residue CA RMSF for both fused five-residue termini from gmx rmsf,"CA atoms of the first/last five enzyme residues at each exact fused terminus, pooled as terminal_both_ca",dimensionless (RMSF input in nm),NA,reciprocal transform 1/(1+mean terminal RMSF_nm),"RMSF is calculated over the inclusive trajectory window, then arithmetic mean across terminal CA residues",NUMERIC_MISSING if terminal RMSF output absent; no imputation,16/16 numeric,HIGH_DESCRIPTOR when topology QC passes,YES; frozen M2 reduced common feature,"repos/truefit/reports/PSCI_F_FEATURE_SPEC_FINAL.md:1-5; repos/truefit/scripts/psci_internal16_reanalysis.py:150-173,231-236,331-345",build_groups(); ensure_analysis(); aggregate(),EXACT_IMPLEMENTATION_RECOVERED,constraint is descriptive; rigidity is not assumed optimal,0-75 ns inclusive,100 ps,one construct/trajectory; frames are not independent samples
L,modeled linker extension ratio,"L = mean_t[0.5*(d(CA1,CA17)_1(t)/sum_{k=1..16}d(CAk,CAk+1)_1(t) + d(CA1,CA17)_2(t)/sum_{k=1..16}d(CAk,CAk+1)_2(t))]","CA end-to-end distance, 16 consecutive CA-CA distances, and their instantaneous extension ratio for each 17-residue modeled linker",CA atoms of each modeled linker; end-to-end distance between first and last linker CA,dimensionless,state thresholds: compact <0.35; intermediate 0.35-0.70 inclusive; extended >0.70,"actual frozen values divide each chain end-to-end distance by the same-frame sum of its 16 consecutive linker CA-CA distances, then take the equal chain mean",arithmetic mean over 751 frames,NUMERIC_MISSING if either linker series/length absent; no imputation,16/16 numeric,HIGH_DESCRIPTOR for modeled connector; does not confirm experimental linker identity,YES; frozen M2 reduced common feature,"repos/truefit/metadata/PSCI_PHENOTYPE_BLIND_FEATURE_FREEZE.json:42-49; repos/truefit/scripts/psci_internal16_reanalysis.py:140-149,183-188,237-248,314-345; repos/historical_md/scripts/spatial/run_phase3b_spatial.py:131-154; repos/historical_md/scripts/spatial/analyze_spatial_metrics.py:35-43",run_phase3b_spatial.main(); analyze_spatial_metrics.main(); build_groups(); ensure_analysis(); aggregate(),EXACT_IMPLEMENTATION_RECOVERED,"modeled connector only; freeze prose states fixed (n-1)*0.38-nm contour, but stored final values use the instantaneous summed CA-CA contour from the upstream executable",0-75 ns inclusive,100 ps,one construct/trajectory; frames are not independent samples
Q_context,source-supported native oligomeric/assembly requirement as system context,categorical literal SYSTEM_CONTEXT_ONLY in final matrix; no topology ranking formula,"native oligomeric state, biological assembly, stoichiometry and evidence class in assembly registry",NA; evidence context rather than trajectory scalar,categorical,NA,NA,static context,retain source-supported context or NOT_IDENTIFIABLE; never manufacture numeric topology score,16/16 carry SYSTEM_CONTEXT_ONLY; 0/16 numeric,source evidence; final confidence table labels context only,NO as final M2 numeric feature; used separately for system context only,repos/truefit/reports/PSCI_Q_FEATURE_SPEC_FINAL.md:1-5; repos/truefit/metadata/PSCI_BIOLOGICAL_ASSEMBLY_REGISTRY.csv; repos/truefit/scripts/psci_internal16_reanalysis.py:339-362,aggregate(),EXACT_CATEGORICAL_STATUS_RECOVERED,not a ranking feature,0-75 ns inclusive,100 ps,one construct/trajectory; frames are not independent samples
Q_topology,topology-specific compatibility with required native biological assembly,NOT_UNIQUELY_RECOVERABLE,"would require exact native assembly, interface mapping, terminal-interface geometry, interface SASA/overlap and occlusion",NOT_UNIQUELY_RECOVERABLE,NA,NOT_UNIQUELY_RECOVERABLE,NOT_UNIQUELY_RECOVERABLE,NA,SCIENTIFICALLY_NOT_IDENTIFIABLE for all topologies; final table stores NA,0/16 numeric,NOT_IDENTIFIABLE,NO,repos/truefit/reports/PSCI_Q_FEATURE_SPEC_FINAL.md:1-5; repos/truefit/metadata/PSCI_PHENOTYPE_BLIND_FEATURE_FREEZE.json:54-61; repos/truefit/scripts/psci_internal16_reanalysis.py:339-362,aggregate(),NOT_UNIQUELY_RECOVERABLE,no numeric value manufactured,0-75 ns inclusive,100 ps,one construct/trajectory; frames are not independent samples
